source_id,filename,source_license_note
source-064,pair_064_clean.png,"Art Institute of Chicago; title: Beata Beatrix; creator: Dante Gabriel Rossetti (English, 1828–1882); Public Domain (AIC API designation); https://www.artic.edu/artworks/16551"
source-065,pair_065_clean.png,"Art Institute of Chicago; title: Still Life with Dead Game, Fruits, and Vegetables in a Market; creator: Frans Snyders (Flemish, 1579-1657); Public Domain (AIC API designation); https://www.artic.edu/artworks/62042"
source-066,pair_066_clean.png,"Art Institute of Chicago; title: The Advance-Guard, or The Military Sacrifice (The Ambush); creator: Frederic Remington (American, 1861–1909); Public Domain (AIC API designation); https://www.artic.edu/artworks/97910"
source-067,pair_067_clean.png,"Art Institute of Chicago; title: Frederick Douglass; creator: Samuel J. Miller
American, 1822–1888; Public Domain (AIC API designation); https://www.artic.edu/artworks/145681"
source-068,pair_068_clean.png,"Art Institute of Chicago; title: Ceremonial Knife (Tumi); creator: Chimú
Lambayeque Valley, north coast, Peru; Public Domain (AIC API designation); https://www.artic.edu/artworks/18757"
source-069,pair_069_clean.png,"Art Institute of Chicago; title: The Battle between the Gods and the Giants; creator: Joachim Antonisz. Wtewael (Dutch, c. 1566–1638); Public Domain (AIC API designation); https://www.artic.edu/artworks/105466"
source-070,pair_070_clean.png,"Art Institute of Chicago; title: Madame Cezanne in a Yellow Chair; creator: Paul Cezanne (French, 1839–1906); Public Domain (AIC API designation); https://www.artic.edu/artworks/62371"
source-071,pair_071_clean.png,"Art Institute of Chicago; title: Flower Clouds; creator: Odilon Redon
French, 1840-1916; Public Domain (AIC API designation); https://www.artic.edu/artworks/76395"
source-072,pair_072_clean.png,"Art Institute of Chicago; title: The Fountains; creator: Hubert Robert (French, 1733-1808); Public Domain (AIC API designation); https://www.artic.edu/artworks/57051"
source-073,pair_073_clean.png,"Art Institute of Chicago; title: Amédée-David, the Comte de Pastoret; creator: Jean-Auguste-Dominique Ingres (French, 1780-1867); Public Domain (AIC API designation); https://www.artic.edu/artworks/111317"
source-074,pair_074_clean.png,"Art Institute of Chicago; title: Woman Reading; creator: Édouard Manet (French, 1832–1883); Public Domain (AIC API designation); https://www.artic.edu/artworks/14591"
source-075,pair_075_clean.png,"Art Institute of Chicago; title: Virgin and Child with the Young Saint John the Baptist; creator: Correggio (Antonio Allegri; Italian, 1489–1534); Public Domain (AIC API designation); https://www.artic.edu/artworks/23972"
source-076,pair_076_clean.png,"Art Institute of Chicago; title: The Annunciation; creator: Jean Hey (Master of Moulins; Netherlandish, c. 1480-c.1504); Public Domain (AIC API designation); https://www.artic.edu/artworks/16327"
source-077,pair_077_clean.png,"Art Institute of Chicago; title: Stela of Amenemhat and Hemet; creator: Egyptian; probably Thebes (now Luxor), Egypt; Public Domain (AIC API designation); https://www.artic.edu/artworks/127859"
source-078,pair_078_clean.png,"Art Institute of Chicago; title: Merahi metua no Tehamana (Tehamana Has Many Parents or The Ancestors of Tehamana); creator: Paul Gauguin (French, 1848–1903); Public Domain (AIC API designation); https://www.artic.edu/artworks/60812"
source-079,pair_079_clean.png,"Art Institute of Chicago; title: Madame de Pastoret and Her Son; creator: Jacques-Louis David (French, 1748–1825); Public Domain (AIC API designation); https://www.artic.edu/artworks/27307"
source-080,pair_080_clean.png,"Art Institute of Chicago; title: Portrait Vessel; creator: Ceramist unknown (Moche)
Southern Moche region, north coast, Peru; Public Domain (AIC API designation); https://www.artic.edu/artworks/91620"
source-081,pair_081_clean.png,"Art Institute of Chicago; title: Magnolias on Light Blue Velvet Cloth; creator: Martin Johnson Heade (American, 1819–1904); Public Domain (AIC API designation); https://www.artic.edu/artworks/100829"
source-082,pair_082_clean.png,"Art Institute of Chicago; title: Boy on a Ram; creator: Francisco José de Goya y Lucientes (Spanish, 1746–1828); Public Domain (AIC API designation); https://www.artic.edu/artworks/111559"
source-083,pair_083_clean.png,"Art Institute of Chicago; title: The Nativity; creator: Fra Bartolommeo (Baccio della Porta; Italian, 1472-1517); Public Domain (AIC API designation); https://www.artic.edu/artworks/184371"
source-084,pair_084_clean.png,"Art Institute of Chicago; title: Autumn Maples with Poem Slips; creator: Tosa Mitsuoki
Japanese, 1617-1691; Public Domain (AIC API designation); https://www.artic.edu/artworks/127644"
source-085,pair_085_clean.png,Art Institute of Chicago; title: Portrait Bust of a Woman; creator: Roman; Public Domain (AIC API designation); https://www.artic.edu/artworks/159136
source-086,pair_086_clean.png,Art Institute of Chicago; title: Retable and Frontal of the Life of Christ and the Virgin; creator: Spanish; Public Domain (AIC API designation); https://www.artic.edu/artworks/88793
source-087,pair_087_clean.png,"Art Institute of Chicago; title: Icebound; creator: John Henry Twachtman (American, 1853–1902); Public Domain (AIC API designation); https://www.artic.edu/artworks/72801"
source-088,pair_088_clean.png,"Art Institute of Chicago; title: Henri Degas and His Niece Lucie Degas (The Artist's Uncle and Cousin); creator: Edgar Degas (French, 1834–1917); Public Domain (AIC API designation); https://www.artic.edu/artworks/14574"
source-089,pair_089_clean.png,"Art Institute of Chicago; title: Still Life—Strawberries, Nuts, &c.; creator: Raphaelle Peale (American, 1774–1825); Public Domain (AIC API designation); https://www.artic.edu/artworks/120154"
source-090,pair_090_clean.png,"Art Institute of Chicago; title: Cabin in the Cotton; creator: Horace Pippin (American, 1888–1946); Public Domain (AIC API designation); https://www.artic.edu/artworks/111617"
source-091,pair_091_clean.png,"Art Institute of Chicago; title: Armida Encounters the Sleeping Rinaldo; creator: Giovanni Battista Tiepolo (Italian, 1696–1770); Public Domain (AIC API designation); https://www.artic.edu/artworks/16488"
source-092,pair_092_clean.png,"Art Institute of Chicago; title: The Beheading of Saint John the Baptist; creator: Giovanni di Paolo (Italian, 1398–1482); Public Domain (AIC API designation); https://www.artic.edu/artworks/16169"
source-093,pair_093_clean.png,Art Institute of Chicago; title: Seated Bodhisattva; creator: Japan; Public Domain (AIC API designation); https://www.artic.edu/artworks/111380
source-094,pair_094_clean.png,"Art Institute of Chicago; title: Jacques and Berthe Lipchitz; creator: Amedeo Modigliani
Italian, 1884–1920; Public Domain (AIC API designation); https://www.artic.edu/artworks/27987"
source-095,pair_095_clean.png,"Art Institute of Chicago; title: Triptych; creator: Central Ethiopia
Eastern and Southern Africa; Public Domain (AIC API designation); https://www.artic.edu/artworks/185651"
source-096,pair_096_clean.png,"Art Institute of Chicago; title: The Holy Family with Saints Elizabeth and John the Baptist; creator: Peter Paul Rubens (Flemish, 1577–1640); Public Domain (AIC API designation); https://www.artic.edu/artworks/27310"
source-097,pair_097_clean.png,"Art Institute of Chicago; title: Early Morning, Tarpon Springs; creator: George Inness (American, 1825–1894); Public Domain (AIC API designation); https://www.artic.edu/artworks/64729"
source-098,pair_098_clean.png,"Art Institute of Chicago; title: Lamp with Hanging Head Dragonfly Shade and Mosaic and Turtleback Base; creator: Design attributed to Clara Pierce Wolcott Driscoll (American, 1861–1944)
Tiffany Studios (American, 1902–32)
Corona, New York; Public Domain (AIC API designation); https://www.artic.edu/artworks/185905"
source-099,pair_099_clean.png,"Art Institute of Chicago; title: Salome with the Head of Saint John the Baptist; creator: Guido Reni (Italian, 1575–1642); Public Domain (AIC API designation); https://www.artic.edu/artworks/11434"
source-100,pair_100_clean.png,"Art Institute of Chicago; title: Landscape: Window Overlooking the Woods; creator: Édouard Vuillard (French, 1868-1940); Public Domain (AIC API designation); https://www.artic.edu/artworks/109926"
